,dataset,embed_model,fm,fold,framework,model_name,prec,rec,vector_name,ds_size
3,D-W(V1),MultiKE,0.8881665181146123,1,EAGER MLP,MLP,0.9879855359850694,0.8066666666666666,SimAndEmb,15K
48,D-W(V1),MultiKE,0.8613130823504066,1,EAGER RF,RF,0.9911987107970746,0.7615238095238095,SimAndEmb,15K
3,D-W(V1),MultiKE,0.8885866722460508,2,EAGER MLP,MLP,0.9856115107913668,0.8089523809523811,SimAndEmb,15K
48,D-W(V1),MultiKE,0.8596538523750473,2,EAGER RF,RF,0.990679756430968,0.7592380952380953,SimAndEmb,15K
3,D-W(V1),MultiKE,0.8170834504074178,3,EAGER MLP,MLP,0.9965729952021932,0.6923809523809524,SimAndEmb,15K
48,D-W(V1),MultiKE,0.8568487212830517,3,EAGER RF,RF,0.9938411261940674,0.7530476190476191,SimAndEmb,15K
3,D-W(V1),MultiKE,0.8663273506563086,4,EAGER MLP,MLP,0.9902020820575628,0.77,SimAndEmb,15K
48,D-W(V1),MultiKE,0.8551156366787629,4,EAGER RF,RF,0.9913349240236092,0.7518095238095238,SimAndEmb,15K
3,D-W(V1),MultiKE,0.8967990022864271,5,EAGER MLP,MLP,0.9868481244281794,0.8218095238095238,SimAndEmb,15K
48,D-W(V1),MultiKE,0.869085848854635,5,EAGER RF,RF,0.9920576735092864,0.7732380952380953,SimAndEmb,15K
3,D-W(V2),MultiKE,0.9468063872255488,1,EAGER MLP,MLP,0.9944444444444444,0.9035238095238096,SimAndEmb,15K
48,D-W(V2),MultiKE,0.9269876706073368,1,EAGER RF,RF,0.9919643826691279,0.87,SimAndEmb,15K
3,D-W(V2),MultiKE,0.9223142185423694,2,EAGER MLP,MLP,0.9952570041914848,0.8593333333333333,SimAndEmb,15K
48,D-W(V2),MultiKE,0.933326603745016,2,EAGER RF,RF,0.9928057553956836,0.8805714285714286,SimAndEmb,15K
3,D-W(V2),MultiKE,0.9701035438238296,3,EAGER MLP,MLP,0.990765564492106,0.9502857142857144,SimAndEmb,15K
48,D-W(V2),MultiKE,0.9323551732861118,3,EAGER RF,RF,0.9944954128440368,0.8775238095238095,SimAndEmb,15K
3,D-W(V2),MultiKE,0.9581565183065234,4,EAGER MLP,MLP,0.9941634241245136,0.9246666666666666,SimAndEmb,15K
48,D-W(V2),MultiKE,0.9261710794297352,4,EAGER RF,RF,0.9950765864332604,0.8661904761904762,SimAndEmb,15K
3,D-W(V2),MultiKE,0.9524280976189298,5,EAGER MLP,MLP,0.9916503453252242,0.9161904761904762,SimAndEmb,15K
48,D-W(V2),MultiKE,0.9379227416203216,5,EAGER RF,RF,0.9895337773549,0.8914285714285715,SimAndEmb,15K
