,dataset,framework,metric,value
0,abt-buy,DeepMatcher,fm,0.9397890472412109
1,abt-buy,DeepMatcher,fm,0.8947055053710937
2,abt-buy,DeepMatcher,fm,0.9163103485107422
3,abt-buy,DeepMatcher,fm,0.953517608642578
4,abt-buy,DeepMatcher,fm,0.944761962890625
5,dblp-scholar,DeepMatcher,fm,0.9975961303710937
6,dblp-scholar,DeepMatcher,fm,0.993735809326172
7,dblp-scholar,DeepMatcher,fm,0.9884569549560548
8,dblp-scholar,DeepMatcher,fm,0.9949387359619141
9,dblp-scholar,DeepMatcher,fm,0.9975942230224609
10,tmdb-tvdb,DeepMatcher,fm,0.9866135406494141
11,tmdb-tvdb,DeepMatcher,fm,0.9919908142089844
12,tmdb-tvdb,DeepMatcher,fm,0.9871977233886721
13,tmdb-tvdb,DeepMatcher,fm,0.9863790893554687
14,tmdb-tvdb,DeepMatcher,fm,0.9891798400878906
15,amazon-google,DeepMatcher,fm,0.7251869201660156
16,amazon-google,DeepMatcher,fm,0.7034095764160156
17,amazon-google,DeepMatcher,fm,0.7367949676513672
18,amazon-google,DeepMatcher,fm,0.7297967529296875
19,amazon-google,DeepMatcher,fm,0.8210074615478515
20,imdb-tmdb,DeepMatcher,fm,0.9828938293457031
21,imdb-tmdb,DeepMatcher,fm,0.9808238983154296
22,imdb-tmdb,DeepMatcher,fm,0.9892627716064452
23,imdb-tmdb,DeepMatcher,fm,0.9805171966552735
24,imdb-tmdb,DeepMatcher,fm,0.9871060180664063
25,dblp-acm,DeepMatcher,fm,0.9841871643066407
26,dblp-acm,DeepMatcher,fm,0.9891995239257813
27,dblp-acm,DeepMatcher,fm,0.9888712310791016
28,dblp-acm,DeepMatcher,fm,0.9882352447509766
29,dblp-acm,DeepMatcher,fm,0.9977571868896484
30,imdb-tvdb,DeepMatcher,fm,0.9891799163818359
31,imdb-tvdb,DeepMatcher,fm,0.9911605072021484
32,imdb-tvdb,DeepMatcher,fm,0.9782177734375
33,imdb-tvdb,DeepMatcher,fm,0.99172607421875
34,imdb-tvdb,DeepMatcher,fm,0.9871465301513672
35,abt-buy,Magellan XGBoost,fm,0.9753566796368354
36,abt-buy,Magellan RF,fm,0.9792207792207792
