,model_name,vector_name,dataset,embed_model,fm,prec,rec,fold,ds_size
0,MLP,OnlyEmb,D-W(V1),BootEA,0.7729818012132526,0.9972907886815172,0.6310476190476191,1,15K
3,MLP,SimAndEmb,D-W(V1),BootEA,0.7977573087705246,0.9989969909729188,0.664,1,15K
45,RF,OnlyEmb,D-W(V1),BootEA,0.6860894029384182,0.9985441310282076,0.5225714285714286,1,15K
48,RF,SimAndEmb,D-W(V1),BootEA,0.8272859216255444,0.9994604801726464,0.7057142857142857,1,15K
0,MLP,OnlyEmb,D-W(V1),RDGCN,0.6981109659023403,0.9276918219134828,0.5596190476190476,1,15K
3,MLP,SimAndEmb,D-W(V1),RDGCN,0.7994921055537153,0.951011294982926,0.6896190476190476,1,15K
45,RF,OnlyEmb,D-W(V1),RDGCN,0.6866856930140216,0.9850480598077608,0.5270476190476191,1,15K
48,RF,SimAndEmb,D-W(V1),RDGCN,0.8258960822450682,0.9914609739826552,0.7077142857142857,1,15K
0,MLP,OnlyEmb,D-W(V1),MultiKE,0.8797324007906341,0.940201494962626,0.8265714285714286,1,15K
3,MLP,SimAndEmb,D-W(V1),MultiKE,0.8881665181146123,0.9879855359850694,0.8066666666666666,1,15K
45,RF,OnlyEmb,D-W(V1),MultiKE,0.8805696846388607,0.9449781659388646,0.8243809523809524,1,15K
48,RF,SimAndEmb,D-W(V1),MultiKE,0.8613130823504066,0.9911987107970746,0.7615238095238095,1,15K
0,MLP,OnlyEmb,D-W(V1),BootEA,0.7706068046299545,0.9977293369663942,0.6277142857142857,2,15K
3,MLP,SimAndEmb,D-W(V1),BootEA,0.7941699661444884,0.9989894615273568,0.659047619047619,2,15K
45,RF,OnlyEmb,D-W(V1),BootEA,0.6607609457650883,0.9986515122327104,0.4937142857142857,2,15K
48,RF,SimAndEmb,D-W(V1),BootEA,0.8136186550731185,0.9991679378726944,0.6861904761904762,2,15K
0,MLP,OnlyEmb,D-W(V1),RDGCN,0.7370529327610872,0.9232974910394264,0.6133333333333333,2,15K
3,MLP,SimAndEmb,D-W(V1),RDGCN,0.818323733649136,0.9410672279311626,0.7239047619047619,2,15K
45,RF,OnlyEmb,D-W(V1),RDGCN,0.735474006116208,0.9614083640836408,0.5955238095238096,2,15K
48,RF,SimAndEmb,D-W(V1),RDGCN,0.8355818800043875,0.9850012929919836,0.7255238095238096,2,15K
