,model_name,vector_name,dataset,embed_model,fm,prec,rec,fold
0,MLP,OnlyEmb,abt-buy,BootEA,0.6137339055793991,0.5214220601640839,0.7457627118644068,1
3,MLP,SimAndEmb,abt-buy,BootEA,0.9724770642201834,0.9776021080368906,0.967405475880052,1
45,RF,OnlyEmb,abt-buy,BootEA,0.6420699568758985,0.5075757575757576,0.8735332464146024,1
48,RF,SimAndEmb,abt-buy,BootEA,0.9785296031229668,0.9766233766233766,0.9804432855280312,1
0,MLP,OnlyEmb,abt-buy,RDGCN,0.6515235457063713,0.5664739884393064,0.7666232073011734,1
3,MLP,SimAndEmb,abt-buy,RDGCN,0.9633911368015414,0.9493670886075948,0.9778357235984356,1
45,RF,OnlyEmb,abt-buy,RDGCN,0.6714285714285715,0.5802469135802469,0.7966101694915254,1
48,RF,SimAndEmb,abt-buy,RDGCN,0.9785296031229668,0.9766233766233766,0.9804432855280312,1
0,MLP,OnlyEmb,abt-buy,MultiKE,0.5958456973293771,0.5468409586056645,0.6544980443285529,1
3,MLP,SimAndEmb,abt-buy,MultiKE,0.975195822454308,0.976470588235294,0.9739243807040416,1
45,RF,OnlyEmb,abt-buy,MultiKE,0.6819736199316072,0.5453125,0.9100391134289441,1
48,RF,SimAndEmb,abt-buy,MultiKE,0.9758957654723128,0.9752604166666666,0.9765319426336376,1
0,MLP,OnlyEmb,abt-buy,BootEA,0.6160567995630803,0.5305738476011289,0.734375,2
3,MLP,SimAndEmb,abt-buy,BootEA,0.9587426326129664,0.9644268774703556,0.953125,2
45,RF,OnlyEmb,abt-buy,BootEA,0.6525023607176582,0.5118518518518519,0.8997395833333334,2
48,RF,SimAndEmb,abt-buy,BootEA,0.9772283669486012,0.9765929778933679,0.9778645833333334,2
0,MLP,OnlyEmb,abt-buy,RDGCN,0.6283662477558347,0.5813953488372093,0.68359375,2
3,MLP,SimAndEmb,abt-buy,RDGCN,0.966381015161503,0.9786381842456608,0.9544270833333334,2
45,RF,OnlyEmb,abt-buy,RDGCN,0.6519580805295091,0.5655502392344498,0.76953125,2
48,RF,SimAndEmb,abt-buy,RDGCN,0.9732899022801302,0.9739243807040416,0.97265625,2
0,MLP,OnlyEmb,abt-buy,MultiKE,0.05651105651105653,0.5,0.029947916666666668,2
3,MLP,SimAndEmb,abt-buy,MultiKE,0.9696569920844328,0.982620320855615,0.95703125,2
45,RF,OnlyEmb,abt-buy,MultiKE,0.6472332015810277,0.5214968152866242,0.8528645833333334,2
48,RF,SimAndEmb,abt-buy,MultiKE,0.9765929778933679,0.9753246753246754,0.9778645833333334,2
0,MLP,OnlyEmb,abt-buy,BootEA,0.6357688113413305,0.5469043151969981,0.7591145833333334,3
3,MLP,SimAndEmb,abt-buy,BootEA,0.9657894736842104,0.976063829787234,0.9557291666666666,3
45,RF,OnlyEmb,abt-buy,BootEA,0.6503126503126503,0.5156369183829138,0.8802083333333334,3
48,RF,SimAndEmb,abt-buy,BootEA,0.9732899022801302,0.9739243807040416,0.97265625,3
0,MLP,OnlyEmb,abt-buy,RDGCN,0.6659129451667609,0.5884115884115884,0.7669270833333334,3
3,MLP,SimAndEmb,abt-buy,RDGCN,0.9690177982860909,0.9813084112149532,0.95703125,3
45,RF,OnlyEmb,abt-buy,RDGCN,0.6681614349775785,0.5866141732283464,0.7760416666666666,3
48,RF,SimAndEmb,abt-buy,RDGCN,0.9758957654723128,0.9765319426336376,0.9752604166666666,3
0,MLP,OnlyEmb,abt-buy,MultiKE,0.6655037069341475,0.5003278688524591,0.9934895833333334,3
3,MLP,SimAndEmb,abt-buy,MultiKE,0.9699738903394256,0.9725130890052356,0.9674479166666666,3
45,RF,OnlyEmb,abt-buy,MultiKE,0.6618075801749269,0.5279069767441861,0.88671875,3
48,RF,SimAndEmb,abt-buy,MultiKE,0.9739583333333334,0.9739583333333334,0.9739583333333334,3
0,MLP,OnlyEmb,abt-buy,BootEA,0.6271094175285793,0.538821328344247,0.75,4
3,MLP,SimAndEmb,abt-buy,BootEA,0.9488188976377953,0.9563492063492064,0.94140625,4
45,RF,OnlyEmb,abt-buy,BootEA,0.6541966426858513,0.5178435839028094,0.8880208333333334,4
48,RF,SimAndEmb,abt-buy,BootEA,0.9685863874345549,0.9736842105263158,0.9635416666666666,4
0,MLP,OnlyEmb,abt-buy,RDGCN,0.6367816091954024,0.5699588477366255,0.7213541666666666,4
3,MLP,SimAndEmb,abt-buy,RDGCN,0.9575440888308296,0.9606815203145478,0.9544270833333334,4
45,RF,OnlyEmb,abt-buy,RDGCN,0.656934306569343,0.5774925962487659,0.76171875,4
48,RF,SimAndEmb,abt-buy,RDGCN,0.9686684073107049,0.9712041884816754,0.9661458333333334,4
0,MLP,OnlyEmb,abt-buy,MultiKE,0.5940803382663847,0.5,0.7317708333333334,4
3,MLP,SimAndEmb,abt-buy,MultiKE,0.9727272727272728,0.9702072538860104,0.9752604166666666,4
45,RF,OnlyEmb,abt-buy,MultiKE,0.6342182890855458,0.509478672985782,0.83984375,4
48,RF,SimAndEmb,abt-buy,MultiKE,0.9686274509803922,0.9724409448818898,0.96484375,4
0,MLP,OnlyEmb,abt-buy,BootEA,0.6231578947368421,0.5229681978798587,0.7708333333333334,5
3,MLP,SimAndEmb,abt-buy,BootEA,0.9588313413014607,0.978319783197832,0.9401041666666666,5
45,RF,OnlyEmb,abt-buy,BootEA,0.6384615384615385,0.5060975609756098,0.8645833333333334,5
48,RF,SimAndEmb,abt-buy,BootEA,0.966425279789335,0.977363515312916,0.9557291666666666,5
0,MLP,OnlyEmb,abt-buy,RDGCN,0.6685267857142858,0.5849609375,0.7799479166666666,5
3,MLP,SimAndEmb,abt-buy,RDGCN,0.9644268774703556,0.976,0.953125,5
45,RF,OnlyEmb,abt-buy,RDGCN,0.6566332218506132,0.5740740740740741,0.7669270833333334,5
48,RF,SimAndEmb,abt-buy,RDGCN,0.9710526315789474,0.9813829787234044,0.9609375,5
